postalcode,placename,stateabbreviation,county,
62914,cairo,il,alexander,
62963,mound city,il,pulaski,
62962,miller city,il,alexander,
62964,mounds,il,pulaski,
62913,cache,il,alexander,
62993,unity,il,alexander,
62910,brookport,il,massac,
62996,villa ridge,il,pulaski,
62969,olive branch,il,alexander,
62960,metropolis,il,massac,
62970,olmsted,il,pulaski,
62953,joppa,il,massac,
62976,pulaski,il,pulaski,
62990,thebes,il,alexander,
62988,tamms,il,alexander,
62941,grand chain,il,pulaski,
62992,ullin,il,pulaski,
62956,karnak,il,pulaski,
62929,elco,il,,
62957,mc clure,il,alexander,
62973,perks,il,pulaski,
62908,belknap,il,johnson,
62944,hamletsburg,il,pope,
62961,millcreek,il,union,
62938,golconda,il,pope,
62923,cypress,il,johnson,
62926,dongola,il,union,
62943,grantsburg,il,johnson,
62995,vienna,il,johnson,
62982,rosiclare,il,hardin,
62952,jonesboro,il,union,
62909,boles,il,johnson,
62985,simpson,il,johnson,
62912,buncombe,il,johnson,
62931,elizabethtown,il,hardin,
62906,anna,il,union,
62928,eddyville,il,pope,
62919,cave in rock,il,hardin,
62955,karbers ridge,il,hardin,
62998,wolf lake,il,union,
62972,ozark,il,johnson,
62920,cobden,il,union,
62947,herod,il,pope,
62905,alto pass,il,union,
62991,tunnel hill,il,johnson,
62939,goreville,il,johnson,
62967,new burnside,il,johnson,
62922,creal springs,il,williamson,
62942,grand tower,il,jackson,
62987,stonefort,il,saline,
62975,pomona,il,jackson,
62902,carbondale,il,jackson,
62903,carbondale,il,jackson,
62917,carrier mills,il,saline,
62958,makanda,il,jackson,
62954,junction,il,gallatin,
62984,shawneetown,il,gallatin,
62901,carbondale,il,jackson,
62946,harrisburg,il,saline,
62959,marion,il,williamson,
62934,equality,il,gallatin,
62940,gorham,il,jackson,
62950,jacob,il,jackson,
62971,oraville,il,jackson,
62966,murphysboro,il,jackson,
62933,energy,il,williamson,
62918,carterville,il,williamson,
62915,cambria,il,williamson,
62948,herrin,il,williamson,
62965,muddy,il,saline,
62841,freeman spur,il,williamson,
62979,ridgway,il,gallatin,
62974,pittsburg,il,williamson,
62921,colp,il,williamson,
62930,eldorado,il,saline,
62924,de soto,il,jackson,
62951,johnston city,il,williamson,
62977,raleigh,il,saline,
62935,galatia,il,saline,
62280,rockwood,il,randolph,
62949,hurst,il,williamson,
62983,royalton,il,franklin,
62907,ava,il,jackson,
62890,thompsonville,il,franklin,
62871,omaha,il,gallatin,
62896,west frankfort,il,franklin,
62999,zeigler,il,franklin,
62867,new haven,il,gallatin,
62994,vergennes,il,jackson,
62932,elkville,il,jackson,
62874,orient,il,franklin,
62233,chester,il,randolph,
62916,campbell hill,il,jackson,
62927,dowell,il,jackson,
62817,broughton,il,hamilton,
62865,mulkeytown,il,franklin,
62834,emma,il,white,
62819,buckner,il,franklin,
62869,norris city,il,white,
62997,willisville,il,perry,
62822,christopher,il,franklin,
62805,akin,il,franklin,
62840,frankfort heights,il,franklin,
62856,logan,il,franklin,
62825,coello,il,franklin,
62812,benton,il,franklin,
62241,ellis grove,il,randolph,
62288,steeleville,il,randolph,
62272,percy,il,randolph,
62860,macedonia,il,hamilton,
62259,menard,il,randolph,
62832,du quoin,il,perry,
62297,walsh,il,randolph,
62891,valier,il,franklin,
62861,maunie,il,white,
62238,cutler,il,perry,
62261,modoc,il,randolph,
62836,ewing,il,franklin,
62845,herald,il,white,
62821,carmi,il,white,
62829,dale,il,hamilton,
62897,whittington,il,franklin,
62884,sesser,il,franklin,
62274,pinckneyville,il,perry,
62242,evansville,il,randolph,
62835,enfield,il,white,
62859,mc leansboro,il,hamilton,
62277,prairie du rocher,il,randolph,
62286,sparta,il,randolph,
62888,tamaroa,il,perry,
62279,renault,il,monroe,
62846,ina,il,jefferson,
62866,nason,il,jefferson,
62827,crossville,il,white,
62887,springerton,il,white,
62883,scheller,il,jefferson,
62237,coulterville,il,randolph,
62217,baldwin,il,randolph,
62244,fults,il,monroe,
62278,red bud,il,randolph,
62828,dahlgren,il,hamilton,
62816,bonnie,il,jefferson,
62820,burnt prairie,il,white,
62292,tilden,il,randolph,
62810,belle rive,il,jefferson,
62862,mill shoals,il,white,
62257,marissa,il,st. clair,
62894,waltonville,il,jefferson,
62831,du bois,il,washington,
62268,oakdale,il,washington,
62876,radom,il,washington,
62844,grayville,il,white,
62872,opdyke,il,jefferson,
62809,barnhill,il,wayne,
62295,valmeyer,il,monroe,
62255,lenzburg,il,st. clair,
62256,maeystown,il,monroe,
62248,hecker,il,monroe,
62808,ashley,il,washington,
62264,new athens,il,st. clair,
62864,mount vernon,il,jefferson,
62298,waterloo,il,monroe,
62895,wayne city,il,wayne,
62263,nashville,il,washington,
62852,keensburg,il,wabash,
62814,bluford,il,jefferson,
62282,saint libory,il,st. clair,
62843,golden gate,il,wayne,
62833,ellery,il,edwards,
62851,keenes,il,wayne,
62806,albion,il,edwards,
62818,browns,il,edwards,
62837,fairfield,il,wayne,
62214,addieville,il,washington,
62898,woodlawn,il,jefferson,
62811,bellmont,il,wabash,
62886,sims,il,wayne,
62855,lancaster,il,wabash,
62243,freeburg,il,st. clair,
62877,richview,il,washington,
62863,mount carmel,il,wabash,
62285,smithton,il,st. clair,
62889,texico,il,jefferson,
62271,okawville,il,washington,
62236,columbia,il,monroe,
62830,dix,il,jefferson,
62848,irvington,il,washington,
62059,lovejoy,il,st. clair,
62222,belleville,il,st. clair,
62224,mascoutah,il,st. clair,
62842,geff,il,wayne,
62260,millstadt,il,st. clair,
62803,hoyleton,il,washington,
62815,bone gap,il,edwards,
62893,walnut hill,il,marion,
62258,mascoutah,il,st. clair,
62266,new memphis,il,clinton,
62220,belleville,il,st. clair,
62823,cisne,il,wayne,
62853,kell,il,marion,
62476,west salem,il,edwards,
62446,mount erie,il,wayne,
62410,allendale,il,wabash,
62801,centralia,il,marion,
62850,johnsonville,il,wayne,
62239,dupo,il,st. clair,
62265,new baden,il,clinton,
62215,albers,il,clinton,
62240,east carondelet,il,st. clair,
62226,belleville,il,st. clair,
62218,bartelso,il,clinton,
62221,belleville,il,st. clair,
62250,hoffman,il,clinton,
62225,scott air force base,il,st. clair,
62223,belleville,il,st. clair,
62245,germantown,il,clinton,
62206,east saint louis,il,st. clair,
62269,o fallon,il,st. clair,
62878,rinard,il,wayne,
62207,east saint louis,il,st. clair,
62452,parkersburg,il,richland,
62460,saint francisville,il,lawrence,
62208,fairview heights,il,st. clair,
62289,summerfield,il,st. clair,
62203,east saint louis,il,st. clair,
62252,huey,il,clinton,
62254,lebanon,il,st. clair,
62219,beckemeyer,il,clinton,
62231,carlyle,il,clinton,
62870,odin,il,marion,
62216,aviston,il,clinton,
62882,sandoval,il,marion,
62849,iuka,il,marion,
62205,east saint louis,il,st. clair,
62202,east saint louis,il,st. clair,
62230,breese,il,clinton,
62293,trenton,il,clinton,
62881,salem,il,marion,
62204,east saint louis,il,st. clair,
62232,caseyville,il,st. clair,
62419,calhoun,il,richland,
62201,east saint louis,il,st. clair,
62283,shattuc,il,clinton,
62071,national stock yards,il,st. clair,
62824,clay city,il,clay,
62899,xenia,il,clay,
62839,flora,il,clay,
62090,venice,il,madison,
62060,madison,il,madison,
62234,collinsville,il,madison,
62281,saint jacob,il,madison,
62417,bridgeport,il,lawrence,
62415,birds,il,lawrence,
62868,noble,il,richland,
62062,maryville,il,madison,
62466,sumner,il,lawrence,
62807,alma,il,marion,
62294,troy,il,madison,
62040,granite city,il,madison,
62439,lawrenceville,il,lawrence,
62450,olney,il,richland,
62026,edwardsville,il,madison,
62421,claremont,il,richland,
62875,patoka,il,marion,
62854,kinmundy,il,marion,
62847,iola,il,clay,
62879,sailor springs,il,clay,
62034,glen carbon,il,madison,
62249,highland,il,madison,
62858,louisville,il,clay,
62253,keyesport,il,clinton,
62061,marine,il,madison,
62275,pocahontas,il,bond,
62892,vernon,il,marion,
62025,edwardsville,il,madison,
62087,south roxana,il,madison,
